"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 GE134)","2016-Apr-15 15:41 ±","16.69/0.04288","16.67/0.04283","4.52","4.50","1.57e+03","25.1","17","AMO*"
"(2016 FL13)","2016-Apr-15 16:57 ±","9.74/0.02504","9.73/0.02499","11.99","11.99","1.27e+03","25.4","14","APO*"
"(2016 GP206)","2016-Apr-16 04:59 ±","17.36/0.04460","17.27/0.04437","9.70","9.69","375","25.2","3","APO*"
"(2008 HU4)","2016-Apr-16 09:31 ±","4.94/0.01269","4.94/0.01269","1.44","1.28","2.75e+05","28.3","23","APO*"
"(2016 GM2)","2016-Apr-16 15:55 ±","12.63/0.03245","12.60/0.03238","9.23","9.22","794","25.1","12","APO*"
"(2016 FY12)","2016-Apr-17 19:16 ±","5.85/0.01503","5.84/0.01500","13.29","13.27","1.04e+03","26.1","7","APO*"
"(2016 GP221)","2016-Apr-18 06:21 ±","1.54/0.00396","1.54/0.00395","19.79","19.75","1.45e+03","25.9","5","APO*"
"(2016 FN13)","2016-Apr-19 00:40 ±   00:01","13.93/0.03579","13.90/0.03571","3.52","3.50","753","27.2","5","AMO*"
"(2016 GY221)","2016-Apr-19 15:42 ±","15.16/0.03896","15.13/0.03887","8.18","8.18","764","24.5","8","AMO*"
"(2016 JH)","2016-Apr-20 00:50 ±   00:03","15.75/0.04048","15.70/0.04035","3.57","3.56","471","27.1","3","AMO*"
"(2016 JR5)","2016-Apr-20 20:58 ±   00:02","15.77/0.04053","15.69/0.04032","9.53","9.52","359","25.0","3","APO*"
"(2016 GB222)","2016-Apr-21 02:25 ±","4.42/0.01136","4.41/0.01134","11.58","11.56","926","26.8","8","APO*"
"(2016 GC1)","2016-Apr-21 10:51 ±","8.83/0.02269","8.81/0.02263","8.36","8.35","625","26.5","9","APO*"
"(2016 HF2)","2016-Apr-21 14:27 ±","4.62/0.01188","4.62/0.01186","6.24","6.21","1.29e+03","26.1","12","ATE*"
"(2016 GZ220)","2016-Apr-21 19:33 ±","10.12/0.02600","10.09/0.02592","8.43","8.42","598","26.2","10","APO*"
"(2016 GV221)","2016-Apr-21 23:01 ±","8.56/0.02198","8.54/0.02193","8.91","8.89","804","24.9","12","APO*"
"(2016 HA)","2016-Apr-22 08:57 ±","6.49/0.01667","6.47/0.01663","12.35","12.34","768","26.2","7","APO*"
"(2016 GD207)","2016-Apr-22 10:28 ±","4.43/0.01139","4.42/0.01136","6.33","6.29","647","25.8","9","APO*"
"(2016 FH12)","2016-Apr-23 00:15 ±   00:04","7.87/0.02023","7.76/0.01995","8.71","8.70","408","26.7","4","APO*"
"(2016 JW5)","2016-Apr-23 02:22 ±","13.69/0.03518","13.69/0.03517","13.66","13.65","5.92e+03","21.9","20","APO*"
"(2016 GC222)","2016-Apr-24 00:21 ±","13.96/0.03587","13.78/0.03541","9.78","9.77","148","25.7","5","APO*"
"(2016 GW221)","2016-Apr-24 07:54 ±","15.55/0.03996","15.52/0.03989","4.99","4.98","901","24.8","22","ATE*"
"(2016 HO)","2016-Apr-24 12:29 ±","2.10/0.00540","2.10/0.00540","4.78","4.67","1.61e+04","25.7","8","APO*"
